bodyART Training,5
BODYFLEX,5
BRAFTストライクボクシングワークアウト,5
Figure8,5
FULLBOX,5
GGX,5
GGX おなか引き締め,5
GGX お腹引き締め,5
GGX シェイプアップトレーニング,5
GGX　シェイプアップトレーニング,5
GGX シェイプダンス,5
GGX シックスパック,5
GGX ストレッチ,5
GGX ストレッチポール,5
GGX バーベルトレーニング,5
GGX バイパー,5
GGX ボディメイク,5
GGX ボディメンテナンス,5
GGXシェイプアップトレーニング,5
GGXストレッチ,5
GGXストレッチ(ポール),5
GGXストレッチポール,5
GGXバイパー,5
GGX骨盤ストレッチナビ,5
GGX腹筋,5
GGX腹筋ワレワレ,5
GGトレーニング,5
GOLD’S FIGHT FIT,5
Group Power,5
Group Power45,5
Gリズムマスター,5
H＆Y Ballet①,5
H＆Y Ballet②,5
ITFテコンドー,5
KaQiLa（カキラ）,5
KICK OUT,5
KICK OUT BASIC,5
KICK OUT Bodymake,5
POMBA,5
POWERMIX,5
STRAPPLE 柔術,5
STRAPPLE 柔術 奇数週ビギナークラス 偶数週総合格闘技クラス,5
STRAPPLE 柔術ビギナー,5
STRAPPLE 武術研究クラス,5
SUPER SHAPE LIGHT,5
SUPER SHAPE めざせ激やせ,5
SUPER SHAPE 元気塾,5
Tai-chi 太極拳・無形塾,5
THE 腹筋&背筋40,5
THE腹筋,5
UNO DOJO JIU-JITUクラス,5
UNO DOJO MMAクラス,5
URBHANIZE,5
VAMOS,5
VIPR,5
アーバンナイズ,5
アイチ&一生自分の足で歩こう,5
アクア30,5
アクアウォーキング,5
アクアビクス,5
アジリティートレーニング,5
ヴォーカリズム,5
ウォーキング,5
エキサイティング ボクシング,5
エレメント,5
エンジョイアクア30,5
お腹すっきり,5
カーディオ&シェイプ,5
カーディオキック,5
カーディオキックボクシング,5
カーディオキックボクシング&ストレッチ,5
カーディオファイティング,5
カポエイラ,5
カラダ改造塾,5
キックアウト,5
キックシェイプ,5
キックシェイプ45,5
キックボクシングエクササイズ,5
クロール,5
コアトレ&ストレッチ,5
コアトレーニング,5
